"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2211","RT @KlasfeldReports: To break that down:

The DOJ's Civil Rights Division filed a federal lawsuit to allow a nursing assistant to refuse a…",FALSE,0,NA,2018-03-07 19:20:28,FALSE,NA,"971465624881942528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmalieDuvall1",3,TRUE,FALSE,NA,NA
"2212","This flu BLOWS <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB><ed><U+00A0><U+00BE><ed><U+00B4><U+0095>",FALSE,5,NA,2018-03-07 19:20:22,FALSE,NA,"971465599913111552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ana_Koshevaya",0,FALSE,FALSE,NA,NA
"2213","RT @Katie_Lovelyy: Beat cold and flu season by keeping @kleenex Germ Removal wipes in your purse and wiping off surfaces while you're out a…",FALSE,0,NA,2018-03-07 19:20:04,FALSE,NA,"971465522952003584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KSpaetti",6,TRUE,FALSE,NA,NA
"2214","RT @KlasfeldReports: To break that down:

The DOJ's Civil Rights Division filed a federal lawsuit to allow a nursing assistant to refuse a…",FALSE,0,NA,2018-03-07 19:19:56,FALSE,NA,"971465491154853888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pulpolover",3,TRUE,FALSE,NA,NA
"2215","RT @jonoquick: I am convinced we can stop the next killer virus from destroying thousands or even millions of lives. Strong national public…",FALSE,0,NA,2018-03-07 19:19:56,FALSE,NA,"971465489946787840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuzH70",8,TRUE,FALSE,NA,NA
"2216","I'm not even doing full-on keto and I'm getting the carb flu, fuck that dude",FALSE,0,NA,2018-03-07 19:19:54,FALSE,NA,"971465481898127361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deafhtagn",0,FALSE,FALSE,NA,NA
"2217","To break that down:

The DOJ's Civil Rights Division filed a federal lawsuit to allow a nursing assistant to refuse… https://t.co/Z2LSAWSU6b",FALSE,7,"KlasfeldReports",2018-03-07 19:19:35,TRUE,"971459231814701057","971465402000855043","60506242","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KlasfeldReports",3,FALSE,FALSE,NA,NA
"2218","RT @blakeshelton: Ok Louisiana... I’m ready! I’m damn sorry about canceling Saturday. But I’m over the flu now and gonna make up for it ton…",FALSE,0,NA,2018-03-07 19:19:13,FALSE,NA,"971465309080248327",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BillNewman1965",433,TRUE,FALSE,NA,NA
"2219","Are you doing these things to #prevent the flu? https://t.co/D33EBmRq9k",FALSE,0,NA,2018-03-07 19:18:12,FALSE,NA,"971465053282107392",NA,"<a href=""https://recurpost.com"" rel=""nofollow"">Recycle Updates</a>","StowFamilyChiro",0,FALSE,FALSE,NA,NA
"2220","RT @EvensTime: FMLA, ADA, and the Flu. What are the rules? #FMLA #ADA #PTO

https://t.co/2aovfMejEp",FALSE,0,NA,2018-03-07 19:18:09,FALSE,NA,"971465040825081861",NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">FLSA Today2</a>","FlsaToday",1,TRUE,FALSE,NA,NA
"2221","Flying in flu season—and what you should know. https://t.co/5wFuWwHO7Q #healthychoices",FALSE,0,NA,2018-03-07 19:17:54,FALSE,NA,"971464979277926407",NA,"<a href=""https://panel.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","wellnessandyou",0,FALSE,FALSE,NA,NA
"2222","RT @ahahospitals: Have you heard that the flu shot can cause the flu? That is a common misconception. Get the facts here. https://t.co/LbaL…",FALSE,0,NA,2018-03-07 19:17:46,FALSE,NA,"971464944481914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","george98414198",142,TRUE,FALSE,NA,NA
"2223","FMLA, ADA, and the Flu. What are the rules? #FMLA #ADA #PTO

https://t.co/2aovfMejEp",FALSE,2,NA,2018-03-07 19:17:41,FALSE,NA,"971464923070042113",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","EvensTime",1,FALSE,FALSE,NA,NA
"2224","RT @CDCDirector: New CDC study @AAPJournals shows no increased risk of death or hospitalization to newborns when moms get flu and Tdap #vac…",FALSE,0,NA,2018-03-07 19:17:32,FALSE,NA,"971464886034116608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NASciencesTeam",10,TRUE,FALSE,NA,NA
"2225","Imagine we have a bad flu season.  Imagine it comes to the US, and we can’t get protective masks, because only 5% o… https://t.co/Xhgq4LWgjo",FALSE,0,NA,2018-03-07 19:16:58,TRUE,NA,"971464741842538503",NA,"<a href=""http://convey.pro"" rel=""nofollow"">Convey: Make it post for you</a>","realkapilgupta",0,FALSE,FALSE,NA,NA
"2226","Definitely want the guy who thought it was a great idea to bomb Libya to be in charge of all the health decisions o… https://t.co/5Ip0KuL27i",FALSE,54,NA,2018-03-07 19:16:54,TRUE,NA,"971464728877912064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","getfiscal",2,FALSE,FALSE,NA,NA
"2227","@nihalsens Unclear from the complaint.

That the DOJ's Civil Rights Division is suing for her right to refuse a flu… https://t.co/OPxGgPOOuu",FALSE,0,"nihalsens",2018-03-07 19:16:09,TRUE,"971463519110598656","971464536653008903","188012499","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KlasfeldReports",0,FALSE,FALSE,NA,NA
"2228","Probably a good day for the Blue Flu https://t.co/KDZ1weJE2P",FALSE,0,NA,2018-03-07 19:15:56,FALSE,NA,"971464484169461760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","323Alaska",0,FALSE,FALSE,NA,NA
"2229","Glad flu season is over and i can go back to licking random doorknobs",FALSE,0,NA,2018-03-07 19:15:23,FALSE,NA,"971464347103977473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SecksWrecks",0,FALSE,FALSE,NA,NA
"2230","When you feel kinda sick but not sure if it's a cold or straight up flu bleh",FALSE,0,"Neonbear_",2018-03-07 19:14:08,FALSE,"971460365753180160","971464032526983169","4254454162","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Neonbear_",0,FALSE,FALSE,NA,NA
"2231","@SirCoachWhite Lies. Saturday I had friends in town for the Jackets game. Sunday me and Maddy were at the Cavs game… https://t.co/TwAWUJK1Vu",FALSE,1,"SirCoachWhite",2018-03-07 19:14:06,TRUE,"971462692824322050","971464023144267776","192376673","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hnb6458",0,FALSE,FALSE,NA,NA
"2232","RT @IndSector: Amidst a vicious flu season that's on track to break recent records, @caheredia21 talks to @NatlHCHCouncil's Eowyn Rieke, @M…",FALSE,0,NA,2018-03-07 19:14:01,FALSE,NA,"971464000834859008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NatlHCHCouncil",2,TRUE,FALSE,NA,NA
"2233","RT @KlasfeldReports: A nursing assistant risked getting fired for refusing a flu shot at a Wisconsin senior center on religious grounds.

S…",FALSE,0,NA,2018-03-07 19:13:23,FALSE,NA,"971463842134937600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zittiribit",5,TRUE,FALSE,NA,NA
"2234","RT @CDCFlu: Flu hospitalization rates are leveling off, but are higher among some age groups than they were at this time during the last “h…",FALSE,0,NA,2018-03-07 19:12:56,FALSE,NA,"971463728947433472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UrgentCareTN",33,TRUE,FALSE,NA,NA
"2235","@faerondil Yeah.   I've been on the KETO band wagon since the 26th and my body kicked into ketosis on the 27th.  I… https://t.co/AKQ9D7ZoQt",FALSE,0,"faerondil",2018-03-07 19:12:38,TRUE,"971463109385826304","971463652053323776","3030280620","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RagingPenance",0,FALSE,FALSE,NA,NA
"2236","RT @emilyzmedia: .@CivilRights is suing Ozaukee County, WI over a state-owned healthcare facility policy that allegedly required a woman to…",FALSE,0,NA,2018-03-07 19:12:10,FALSE,NA,"971463536286355456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jMESSpalmer",2,TRUE,FALSE,NA,NA
"2237","RT @CDCFlu: #WellnessWednesday: Remind children to cover coughs &amp; sneezes and wash hands often to help stop the spread of germs. https://t.…",FALSE,0,NA,2018-03-07 19:12:01,FALSE,NA,"971463496519962625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","klelliott69",65,TRUE,FALSE,NA,NA
"2238","RT @_joenick22_: You guys seriously want a QB who runs like Mose Schrute? https://t.co/IwlyVdrAYw",FALSE,0,NA,2018-03-07 19:11:46,FALSE,NA,"971463436927254528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Yuppie_Flu",56955,TRUE,FALSE,NA,NA
"2239","Flu shot effectiveness below 20 per cent for dominant strain this season | Toronto St… https://t.co/wRx6QxNvIW <U+279C>… https://t.co/naJYzbYLVQ",FALSE,0,NA,2018-03-07 19:11:27,TRUE,NA,"971463357344768000",NA,"<a href=""http://ruebot.net"" rel=""nofollow"">torstar_diff</a>","torstar_diff",0,FALSE,FALSE,NA,NA
"2240","Bars stayed open as churches closed during 1918 Spanish flu that killed 147 in Belleville https://t.co/jPnjynnhxt",FALSE,0,NA,2018-03-07 19:11:19,FALSE,NA,"971463320715825152",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","kathyjean",0,FALSE,FALSE,NA,NA
"2241","RT @NBCNews: Americans have been thinking about the flu shot all wrong, Tara Haelle writes for @NBCNewsTHINK https://t.co/wMZJDhzn4a",FALSE,0,NA,2018-03-07 19:10:50,FALSE,NA,"971463199701782530",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","henry_957",21,TRUE,FALSE,NA,NA
"2242","For @tracyurq: a treat to help soothe the flu symptoms away. While working at a medical facility yesterday, I came… https://t.co/o0CTr2LCaj",FALSE,3,NA,2018-03-07 19:10:49,TRUE,NA,"971463197550108672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MuseOverMia",0,FALSE,FALSE,NA,NA
"2243","Religious discrimination lawsuit claims mandatory flu shot caused woman 'severe emotional distress' https://t.co/kRS22YWFll",FALSE,0,NA,2018-03-07 19:10:24,FALSE,NA,"971463090456887297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AriellaP1000",0,FALSE,FALSE,NA,NA
"2244","@grahamkerr Sick with the flu and doing the same! Thanks to you and @PBS 

Fun fact, duck meat is 70% moisture.",FALSE,0,"grahamkerr",2018-03-07 19:10:21,FALSE,"828314352075681792","971463078763167744","20454629","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","candrews9",0,FALSE,FALSE,NA,NA
